<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;21/07/23;230000;171.2700000
GAZP;60;22/07/23;000000;171.1900000
GAZP;60;24/07/23;110000;171.4900000
GAZP;60;24/07/23;120000;171.3900000
GAZP;60;24/07/23;130000;171.0200000
GAZP;60;24/07/23;140000;171.1600000
GAZP;60;24/07/23;150000;171.4200000
GAZP;60;24/07/23;160000;172.3100000
GAZP;60;24/07/23;170000;171.8600000
GAZP;60;24/07/23;180000;172.1200000
GAZP;60;24/07/23;190000;171.8900000
GAZP;60;24/07/23;200000;172.2100000
GAZP;60;24/07/23;210000;172.1100000
GAZP;60;24/07/23;220000;171.9400000
GAZP;60;24/07/23;230000;171.8700000
GAZP;60;25/07/23;000000;171.9800000
GAZP;60;25/07/23;110000;172.2700000
GAZP;60;25/07/23;120000;171.8700000
GAZP;60;25/07/23;130000;171.8000000
GAZP;60;25/07/23;140000;172.0400000
GAZP;60;25/07/23;150000;172.0000000
GAZP;60;25/07/23;160000;171.8700000
GAZP;60;25/07/23;170000;171.9000000
GAZP;60;25/07/23;180000;172.2000000
GAZP;60;25/07/23;190000;172.4700000
GAZP;60;25/07/23;200000;172.2400000
GAZP;60;25/07/23;210000;172.2500000
GAZP;60;25/07/23;220000;172.0000000
GAZP;60;25/07/23;230000;171.9800000
GAZP;60;26/07/23;000000;171.8600000
GAZP;60;26/07/23;110000;171.1400000
GAZP;60;26/07/23;120000;171.2100000
GAZP;60;26/07/23;130000;170.9100000
GAZP;60;26/07/23;140000;171.1900000
GAZP;60;26/07/23;150000;171.3500000
GAZP;60;26/07/23;160000;171.4000000
GAZP;60;26/07/23;170000;171.5800000
GAZP;60;26/07/23;180000;171.7600000
GAZP;60;26/07/23;190000;171.8200000
GAZP;60;26/07/23;200000;171.5100000
GAZP;60;26/07/23;210000;171.3000000
GAZP;60;26/07/23;220000;171.5400000
GAZP;60;26/07/23;230000;171.5200000
GAZP;60;27/07/23;000000;171.3500000
GAZP;60;27/07/23;110000;172.8600000
GAZP;60;27/07/23;120000;172.3900000
GAZP;60;27/07/23;130000;172.5800000
GAZP;60;27/07/23;140000;172.4900000
GAZP;60;27/07/23;150000;172.3500000
GAZP;60;27/07/23;160000;172.2500000
GAZP;60;27/07/23;170000;172.0900000
GAZP;60;27/07/23;180000;172.1600000
GAZP;60;27/07/23;190000;172.0300000
GAZP;60;27/07/23;200000;172.3000000
GAZP;60;27/07/23;210000;172.2400000
GAZP;60;27/07/23;220000;172.2300000
GAZP;60;27/07/23;230000;172.0900000
GAZP;60;28/07/23;000000;172.0000000
GAZP;60;28/07/23;110000;171.7500000
GAZP;60;28/07/23;120000;171.8000000
GAZP;60;28/07/23;130000;171.8900000
